IdRegional;Municipio
341;11092 - ARENAS BLANCAS - CESAR
342;13003 - ARENAS DEL NORTE - CORDOBA
343;13091 - ARENAS DEL SUR - CORDOBA
344;0 - ARENAS MONAS - ANTIOQUIA
345;0 - ARENERA - ANTIOQUIA
346;0 - ARENILLO - VALLE DEL CAUCA
347;0 - ARENOSA CARMELO - ANTIOQUIA
348;0 - ARENOSO - CORDOBA
349;2015 - ARGELIA - ANTIOQUIA
350;10141 - ARGELIA - CAUCA
351;30009 - ARGELIA - VALLE DEL CAUCA
352;0 - ARGENTINA - META
353;0 - ARGUELLO ALTO - NARINO
354;19075 - ARIGUANI (EL DIFICIL) - MAGDALENA
355;0 - ARIZAL - CORDOBA
356;0 - ARIZONA - NARINO
357;5001 - ARJONA - BOLIVAR
358;11004 - ARJONA - CESAR
359;7008 - ARMA - CALDAS
360;2016 - ARMENIA - ANTIOQUIA
361;5178 - ARMENIA - BOLIVAR
362;24000 - ARMENIA - QUINDIO
363;29155 - ARMERO  (GUAYABAL) - TOLIMA
364;0 - ARRASTRADERO - CHOCO
365;0 - ARRAYANES - BOLIVAR
366;0 - ARRECIFAL - GUAINIA
367;0 - ARRIBA - CORDOBA
368;0 - ARRIMADERO - CORDOBA
369;0 - ARROYO ARENA - CORDOBA
370;0 - ARROYO ARENA - LA GUAJIRA
371;0 - ARROYO DE ARENA - CORDOBA
372;0 - ARROYO DE LAS CANOAS - BOLIVAR
373;4001 - ARROYO DE PIEDRA - ATLANTICO
374;5002 - ARROYO DE PIEDRA - BOLIVAR
375;5093 - ARROYO GRANDE - BOLIVAR
376;0 - ARROYO GRANDE - CORDOBA
377;0 - ARROYO NEGRO - ATLANTICO
378;0 - ARROYO SECO - SUCRE
379;0 - ARROYOHONDO - BOLIVAR
380;0 - ARROYOHONDO - VALLE DEL CAUCA
381;5003 - ARROYOHONDO- - BOLIVAR
382;0 - ARROYON - CORDOBA
383;0 - ARTEAGA - NARINO
384;0 - ARTURO LLORENTE - NARINO
385;0 - ARUSI - CHOCO
386;0 - ASENTAMIENTO INDIGENA - CALDAS
387;0 - ASERRADERO - CORDOBA
388;0 - ASESI - ANTIOQUIA
389;10004 - ASNAZU - CAUCA
390;0 - ASOCIACION MUJERES INDIGENAS KILOMETRO 6 - AMAZONAS
391;22007 - ASPASICA - NORTE DE SANTANDER
392;0 - ASTILLERO - NORTE DE SANTANDER
393;5161 - ASTILLEROS - BOLIVAR
394;0 - ASTILLEROS - NORTE DE SANTANDER
395;0 - ASTILLEROS Y - SANTANDER
396;11005 - ASTREA - CESAR
397;29007 - ATACO - TOLIMA
398;21055 - ATANASIO GIRARDOT - NARINO
399;11006 - ATANQUEZ - CESAR
400;12063 - ATRATO (YUTO)  - CHOCO
401;0 - ATUNCELA - VALLE DEL CAUCA
402;0 - AUCA - VALLE DEL CAUCA
403;0 - AUJI - VALLE DEL CAUCA
404;0 - AURES - TOLIMA
405;0 - AURES - VALLE DEL CAUCA
406;0 - AVENDANOS - BOYACA
407;0 - AVENIDA EL CARANO-EL CARANO - CAQUETA
408;0 - AVIANCA - MAGDALENA
409;0 - AVIRAMA - CAUCA
410;0 - AVISPERO - HUILA
411;11093 - AYACUCHO - CESAR
412;0 - AYACUCHO - VALLE DEL CAUCA
413;13004 - AYAPEL - CORDOBA
414;0 - AYATA - BOYACA
415;0 - AZAFRANAL - CUNDINAMARCA
416;0 - AZAUNCHA - CUNDINAMARCA
417;0 - AZUCAR BUENA (LA MESA) - CESAR
418;22008 - BABEGA - NORTE DE SANTANDER
419;0 - BACHIRA - BOYACA
420;0 - BADILLO - ANTIOQUIA
421;11070 - BADILLO - CESAR
422;27013 - BADILLO - SANTANDER
423;6168 - BADO CASTRO - BOYACA
424;12003 - BAGADO - CHOCO
425;0 - BAGAZAL - CUNDINAMARCA
426;0 - BAGRE - ANTIOQUIA
427;16023 - BAHIA HONDA - LA GUAJIRA
428;0 - BAHIA HONDA - MAGDALENA
429;0 - BAHIA MALAGA - VALLE DEL CAUCA
430;0 - BAHIA MULATAS - NARINO
